;hirkod;hirkod_post
173;14843401;15644319.0
174;15403871;15703398.0
175;15103560;15354574.0
176;15041892;15322831.0
177;14865778;15020200.0
178;14845467;15382103.0
179;14644077;15401070.0
180;14339157;15299393.0
181;12879703;15307255.0
182;15272586;15341026.0
183;15184943;15243638.0
184;14790317;15420726.0
185;15403255;15394297.0
186;14238849;15546702.0
187;15371141;15506445.0
188;14749128;15439522.0
189;15284588;15122100.0
190;15063879;13711621.0
191;15002651;14274475.0
192;15179288;15490304.0
193;15175219;15486987.0
194;15039177;14978012.0
195;15280247;14978234.0
196;15141309;15355385.0
197;15175691;15355366.0
198;14864589;14764968.0
199;14999650;15317750.0
200;15224082;15418007.0
201;15395581;15366301.0
202;15370721;15511192.0
203;15265432;15423577.0
204;15289707;15554177.0
205;14974382;15667368.0
206;14930039;15474817.0
207;14615594;15419590.0
208;14500548;15579548.0
209;13912972;15561881.0
210;15345626;15597703.0
211;13510599;15644145.0
212;14747477;15315166.0
213;14952636;15579577.0
214;14926644;15408674.0
215;13384062;13606637.0
216;15363750;13349202.0
217;15370580;14737541.0
218;15359592;15567786.0
219;15327904;15673196.0
220;15156307;15613791.0
221;15094942;15159632.0
222;14808143;15275327.0
223;13995753;15536261.0
224;15373563;15275384.0
225;15315434;15275487.0
226;15311441;15419385.0
227;15283643;15297165.0
228;15218624;13485313.0
229;15054874;14669376.0
230;15044637;15324012.0
231;14846421;15492405.0
232;14846152;15515148.0
233;14687624;15333755.0
234;14059510;15444013.0
235;13951853;15365813.0
236;13180277;15546908.0
237;15289822;15368809.0
238;15225951;15686069.0
239;13022342;15644159.0
240;14412333;15676202.0
241;15148781;15618940.0
242;14956843;15681557.0
243;15121150;15644066.0
244;15355138;15512968.0
245;15142705;15358622.0
246;15120796;15662006.0
247;14644997;15722190.0
248;14632190;15409509.0
249;14598839;15389219.0
250;13384310;15126282.0
251;15086666;15410395.0
252;15147720;15159180.0
253;14656383;15413927.0
254;14160265;15069048.0
255;15153673;15481381.0
256;15355988;15539207.0
257;15291791;15294425.0
258;15119904;15501504.0
259;15103543;15225844.0
260;15096313;15180613.0
261;14863919;15560145.0
262;14784566;15602307.0
263;14598731;10071335.0
264;14244203;13519229.0
265;14155871;15561634.0
266;12954367;15369918.0
267;14903512;12155482.0
268;14917160;15684691.0
269;15152546;15274701.0
270;15147449;15590192.0
271;15147538;15525436.0
272;15364865;15661304.0
273;15364600;15577493.0
274;15364243;15066854.0
275;15364165;14880778.0
276;14955301;15102640.0
277;15292776;15313804.0
278;15287631;15294901.0
279;14665800;15395816.0
280;15278638;14993117.0
281;15256182;15353297.0
282;15362089;15327532.0
283;14666612;15282488.0
284;13570933;14743437.0
285;15220224;15331960.0
286;14974296;15234383.0
287;14788825;15356161.0
288;14243130;15266444.0
289;14016736;15230586.0
290;13495114;15372103.0
291;14977201;15363485.0
292;15357126;15331890.0
293;15168889;15351766.0
294;14886920;15292366.0
295;14090107;15252953.0
296;13684115;15206013.0
297;14788453;15172886.0
298;15179556;15121907.0
299;15362252;15391794.0
300;15373158;15341758.0
301;15315118;15341785.0
302;15310886;15390507.0
303;15283731;15090511.0
304;15197185;15046925.0
305;14722940;15348599.0
306;14537759;15322189.0
307;14219706;15343349.0
308;13430820;15372109.0
309;14636704;15392908.0
310;15152433;15397035.0
311;15332301;12959663.0
312;15199964;9021413.0
313;15116476;15379431.0
314;14721232;15306415.0
315;13634114;15297748.0
316;15366336;15298035.0
317;15336416;15423772.0
318;15283804;15400050.0
319;15370635;15392420.0
320;14307726;15208342.0
321;15205076;15403635.0
322;15111952;15401192.0
323;15061579;14930868.0
